type uri
fundingorganization http://vivoweb.org/ontology/core#FundingOrganization
company http://vivoweb.org/ontology/core#Company
publisher http://vivoweb.org/ontology/core#Publisher
university http://vivoweb.org/ontology/core#University
association http://vivoweb.org/ontology/core#Association
department http://vivoweb.org/ontology/core#Department
governmentagency http://vivoweb.org/ontology/core#GovernmentAgency
foundation http://vivoweb.org/ontology/core#Foundation
center http://vivoweb.org/ontology/core#Center
academicdepartment http://vivoweb.org/ontology/core#AcademicDepartment
institute http://vivoweb.org/ontology/core#Institute
program http://vivoweb.org/ontology/core#Program
college http://vivoweb.org/ontology/core#College
school http://vivoweb.org/ontology/core#School
hospital http://vivoweb.org/ontology/core#Hospital
clinicalorganization http://vivoweb.org/ontology/core#ClinicalOrganization
researchorganization http://vivoweb.org/ontology/core#ResearchOrganization
laboratory http://vivoweb.org/ontology/core#Laboratory
division http://vivoweb.org/ontology/core#Division
extensionunit http://vivoweb.org/ontology/core#ExtensionUnit
corelaboratory http://vivoweb.org/ontology/core#CoreLaboratory
serviceprovidinglaboratory http://vivoweb.org/ontology/core#ServiceProvidingLaboratory
group http://xmlns.com/foaf/0.1/Group
library http://vivoweb.org/ontology/core#Library
committee http://vivoweb.org/ontology/core#Committee
ngo http://vivo.ufl.edu/ontology/vivo-ufl/NonGovernmentalOrganization
studentorganization http://vivoweb.org/ontology/core#StudentOrganization
museum http://vivoweb.org/ontology/core#Museum
consortium http://vivoweb.org/ontology/core#Consortium
team http://vivoweb.org/ontology/core#Team
administrativeunit http://vivo.ufl.edu/ontology/vivo-ufl/AdministrativeUnit
researchlaboratory http://vivoweb.org/ontology/core#ResearchLaboratory
